交易时间,来源,收/支,支付状态,类型,category,交易对方,商品,是否冲账,金额,支付方式,amount
2024-07-18 00:00:00,银行卡账单,支出,交易成功,类型,餐饮,本人,借款单还款,1,12481.0,民生银行储蓄卡(4827),0.0
2024-07-17 13:06:13,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,29.39,民生银行储蓄卡(4827),-29.39
2024-07-16 11:24:29,微信,支出,已转账,扫二维码付款,餐饮,叶记油条,收款方备注:二维码收款,0,21.0,零钱,-21.0
2024-07-16 09:18:53,微信,支出,对方已收钱,转账,餐饮,韩冰数产,转账备注:微信转账,1,540.0,民生银行储蓄卡(4827),0.0
2024-07-16 00:00:00,银行卡账单,收入,交易成功,类型,餐饮,本人,他人汇款,1,2455.0,民生银行储蓄卡(4827),0.0
2024-07-14 19:08:31,微信,收入,已退款￥30.00,哈啰出行-退款,交通,哈啰出行,哈啰出行,0,30.0,零钱,0.0
2024-07-14 19:07:59,微信,支出,已退款(￥30.00),商户消费,交通,哈啰出行,哈啰助力车骑行,0,33.0,零钱,-3.0
2024-07-13 12:36:00,微信,支出,支付成功,商户消费,购物,美团平台商户,美团订单-24071311100400001303753486049449,0,30.0,零钱,-30.0
2024-07-11 21:55:54,微信,支出,支付成功,商户消费,交通,沧州公共交通集团有限公司第一加油站,立码收收款,0,76.0,民生银行储蓄卡(4827),-76.0
2024-07-11 10:45:44,支付宝,收入,交易成功,商户消费,二手交易,浙江阿里巴巴闲鱼网络科技有限公司,现金赔付,1,50.0,余额宝,0.0
2024-07-10 17:25:48,微信,支出,支付成功,商户消费,交通,哈啰出行,哈啰助力车骑行,0,2.0,零钱,-2.0
2024-07-08 08:49:27,微信,支出,已转账,扫二维码付款,餐饮,武华兴丨运河店,收款方备注:二维码收款,0,12.0,零钱,-12.0
2024-07-07 13:37:12,微信,支出,支付成功,商户消费,通讯,冥想星球,冥想星球-活动年卡-五周年周年庆活动,0,48.0,零钱,-48.0
2024-07-07 10:52:36,微信,支出,支付成功,商户消费,购物,美团平台商户,美团订单-24070711100400001302641238785449,0,31.4,民生银行储蓄卡(4827),-31.4
2024-07-06 14:59:28,微信,支出,支付成功,商户消费,餐饮,上海新上铁实业发展集团有限公司,自贩机消费:雀巢丝滑拿铁268ml;,0,9.0,民生银行储蓄卡(4827),-9.0
2024-07-06 14:58:56,微信,支出,支付成功,商户消费,餐饮,上海新上铁实业发展集团有限公司,自贩机消费:雀巢丝滑拿铁268ml;,0,9.0,民生银行储蓄卡(4827),-9.0
2024-07-06 09:10:15,微信,收入,已退款￥1080.00,中铁网络-退款,餐饮,中铁网络,中铁网络,1,1080.0,民生银行储蓄卡(4827),0.0
2024-07-06 09:09:11,微信,支出,支付成功,商户消费,餐饮,中铁网络,12306消费,1,1600.0,民生银行储蓄卡(4827),0.0
2024-07-05 22:19:32,微信,支出,支付成功,商户消费,餐饮,新锦江大酒店,新锦江大酒店,1,900.0,民生银行储蓄卡(4827),0.0
2024-07-05 22:17:24,微信,支出,支付成功,商户消费,餐饮,新锦江大酒店,新锦江大酒店,1,900.0,民生银行储蓄卡(4827),0.0
2024-07-05 22:15:44,微信,支出,支付成功,商户消费,餐饮,新锦江大酒店,新锦江大酒店,1,900.0,民生银行储蓄卡(4827),0.0
2024-07-05 12:22:13,微信,支出,已退款(￥1080.00),商户消费,餐饮,中铁网络,12306消费,1,1620.0,民生银行储蓄卡(4827),0.0
2024-07-04 16:18:25,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,15.56,零钱,-15.56
2024-07-04 00:00:00,银行卡账单,支出,交易成功,类型,通讯,本人,信用卡还款视频会员,0,36.35,民生银行储蓄卡(4827),-36.35
2024-07-03 21:21:03,微信,支出,对方已收钱,转账,购物,广厦快递驿站,转账备注:微信转账,0,8.0,民生银行储蓄卡(4827),-8.0
2024-07-03 12:14:32,支付宝,收入,交易成功,商户消费,餐饮,**明,收钱码收款,1,100.0,余额宝,0.0
2024-07-03 12:13:11,支付宝,支出,交易成功,商户消费,餐饮,沧州市运河区荣含家用电器经销处,沧州市运河区荣含家用电器经销处,1,100.0,华夏银行信用卡(1483),0.0
2024-07-03 12:08:04,微信,收入,已存入零钱,转账,餐饮,光大银行郭秋松18733777570,转账备注:微信转账,1,121.0,零钱,0.0
2024-07-03 12:06:29,支付宝,支出,交易成功,商户消费,餐饮,任丘市雅赞母婴棉纱家居,收款,1,120.32,光大银行信用卡(5851),0.0
2024-07-03 12:03:53,微信,支出,支付成功,商户消费,通讯,北京联通,中国联通交费充值,0,50.0,光大银行信用卡(5851),-50.0
2024-07-03 09:11:09,微信,支出,支付成功,商户消费,交通,中铁网络,12306消费,1,1617.0,民生银行储蓄卡(4827),0.0
2024-07-03 08:30:45,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,16.9,零钱,-16.9
2024-07-03 08:09:21,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,44.8,民生银行储蓄卡(4827),-44.8
2024-07-03 00:00:00,银行卡账单,收入,交易成功,类型,餐饮,本人,差旅费-借款,1,15000.0,民生银行储蓄卡(4827),0.0
2024-07-02 17:09:54,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,17.9,零钱,-17.9
2024-07-02 09:28:28,支付宝,支出,交易成功,商户消费,餐饮,t***7,闲鱼转账,1,13.0,余额宝,0.0
2024-07-01 17:16:47,微信,支出,已转账,扫二维码付款,餐饮,棉花糖便利店丨运河店,收款方备注:二维码收款,0,16.0,民生银行储蓄卡(4827),-16.0
2024-07-01 11:08:06,微信,支出,支付成功,商户消费,购物,拼多多平台商户,先用后付,0,42.38,零钱,-42.38
2024-07-01 00:00:00,银行卡账单,收入,交易成功,类型,工资,本人,工资,0,7102.2,民生银行储蓄卡(4827),7102.2
